NAME,SCHOOL_BOARD,MUN,LATITUDE,LONGITUDE,SCHOOL_TYPE,2013 RATING,2014 RATING,2015 RATING,2016 RATING,2017 RATING,INCOME,INCOME_BINS
HOLY ROSARY CATHOLIC ELEMENTARY SCHOOL,ES,York,43.6850558999,-79.4140485754,ELEMENTARY,7.0,6.7,6.9,6.9,8.7,90258.0,4
HOWARD JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6503073011,-79.4519991186,ELEMENTARY,7.6,8.1,8.1,8.6,7.4,93611.0,4
HUMBER VALLEY VILLAGE JUNIOR MIDDLE SCHOOL,EP,Etobicoke,43.6655368721,-79.527340653,ELEMENTARY,7.4,8.2,7.9,8.1,8.1,95872.0,4
HUMBERCREST PUBLIC SCHOOL,EP,York,43.6604612262,-79.4910586436,ELEMENTARY,7.5,8.4,8.1,8.3,7.7,102400.0,5
HUMBERSIDE COLLEGIATE INSTITUTE,EP,former Toronto,43.6599512926,-79.4706460639,SECONDARY,8.2,8.1,8.3,8.1,8.1,110336.0,5
HUNTER'S GLEN JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.745712249,-79.260121987,ELEMENTARY,6.8,6.8,7.2,7.9,7.7,72896.0,3
HURON STREET JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6710467656,-79.4024143455,ELEMENTARY,8.0,7.4,7.4,6.9,6.8,46976.0,2
IMMACULATE CONCEPTION CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.6976887208,-79.4778249686,ELEMENTARY,5.4,5.1,5.3,5.3,3.4,45696.0,2
FRANCIS LIBERMANN CATHOLIC HIGH SCHOOL,ES,Scarborough,43.8074009571,-79.2743110507,SECONDARY,6.7,5.2,6.7,7.0,6.6,57728.0,2
SILVER SPRINGS PUBLIC SCHOOL,EP,Scarborough,43.8044381226,-79.3023801886,ELEMENTARY,6.8,6.3,6.8,7.2,7.5,62848.0,3
REGENT HEIGHTS PUBLIC SCHOOL,EP,Scarborough,43.7070899034,-79.2889078048,ELEMENTARY,6.2,7.9,7.2,7.4,8.0,71168.0,3
RICHVIEW COLLEGIATE INSTITUTE,EP,Etobicoke,43.6788772094,-79.5389156553,SECONDARY,8.2,8.1,8.2,7.9,7.7,101760.0,5
RIPPLETON PUBLIC SCHOOL,EP,North York,43.7409134352,-79.3601236993,ELEMENTARY,9.1,8.1,8.4,8.0,8.0,135680.0,6
RIVERDALE COLLEGIATE INSTITUTE,EP,former Toronto,43.6700562829,-79.3348630399,SECONDARY,7.8,7.1,6.7,7.1,7.0,78336.0,3
RODEN PUBLIC SCHOOL,EP,former Toronto,43.6738818649,-79.3230796953,ELEMENTARY,6.8,5.1,5.9,5.9,4.2,85504.0,4
ROLPH ROAD ELEMENTARY SCHOOL,EP,East York,43.6997921739,-79.3662546358,ELEMENTARY,7.8,8.3,7.9,7.7,6.7,172544.0,8
ROSE AVENUE JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6701736615,-79.3725087237,ELEMENTARY,6.2,6.4,6.6,7.1,6.1,44160.0,2
ROSEDALE HEIGHTS SCHOOL OF THE ARTS,EP,former Toronto,43.6739482474,-79.3660195656,ELEMENTARY,9.8,8.7,9.4,9.6,8.7,92160.0,4
ROSELANDS JUNIOR PUBLIC SCHOOL,EP,York,43.6812353739,-79.4990642754,ELEMENTARY,5.0,5.3,5.3,5.5,5.8,60032.0,3
ROUGE VALLEY PUBLIC SCHOOL,EP,Scarborough,43.7993948766,-79.1512905604,ELEMENTARY,4.6,5.1,5.4,6.4,6.9,98048.0,4
RUNNYMEDE COLLEGIATE INSTITUTE,EP,York,43.6635408493,-79.4898146564,SECONDARY,3.6,4.0,2.9,4.4,3.9,93440.0,4
RYERSON COMMUNITY SCHOOL,EP,former Toronto,43.651229126,-79.4026399036,ELEMENTARY,4.8,4.8,5.1,5.7,7.0,80384.0,4
SALAHEDDIN ISLAMIC,PR,Scarborough,43.7308963033,-79.266005746,ELEMENTARY,6.8,6.6,6.9,7.3,7.9,57472.0,2
SATHYA SAI,PR,Scarborough,43.7623316855,-79.2949145835,ELEMENTARY,10.0,10.0,10.0,10.0,10.0,66176.0,3
SCARBOROUGH VILLAGE PUBLIC SCHOOL,EP,Scarborough,43.7441279674,-79.222074981,ELEMENTARY,5.2,3.8,4.0,2.9,3.8,80384.0,4
SCARLETT HEIGHTS ENTREPRENEURIAL ACADEMY,EP,Etobicoke,43.6896453445,-79.5313105349,SECONDARY,2.5,1.3,2.7,1.4,1.3,112384.0,5
ST BASIL THE GREAT COLLEGE SCHOOL,ES,North York,43.72716809,-79.533450698,SECONDARY,5.0,5.2,4.3,5.6,5.8,72704.0,3
ST BENEDICT CATHOLIC ELEMENTARY SCHOOL,ES,Etobicoke,43.7230523769,-79.5733260766,ELEMENTARY,6.9,5.6,6.3,6.3,6.7,79104.0,3
ST BERNARD CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.7025148093,-79.5006111444,ELEMENTARY,6.9,4.2,5.6,5.6,4.9,57216.0,2
ST BONAVENTURE CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.733032343,-79.356253633,ELEMENTARY,8.7,8.4,8.6,8.6,8.5,78848.0,3
ST BONIFACE CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.7409288541,-79.2199762061,ELEMENTARY,6.0,5.8,5.9,5.9,5.6,38336.0,1
ST BRENDAN CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.7825555668,-79.1492537183,ELEMENTARY,7.2,7.9,7.6,7.6,8.5,131840.0,6
ST BRIGID CATHOLIC ELEMENTARY SCHOOL,ES,former Toronto,43.6869575443,-79.316902512,ELEMENTARY,7.2,8.0,7.6,7.6,7.5,111360.0,5
ST CHARLES BORROMEO CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.7132904861,-79.4513539548,ELEMENTARY,5.5,5.2,5.3,5.3,6.2,62464.0,3
ST CHARLES GARNIER CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.7626042799,-79.5181450132,ELEMENTARY,4.4,3.8,4.1,4.1,2.2,77824.0,3
ST CLARE CATHOLIC ELEMENTARY SCHOOL,ES,York,43.6794200483,-79.441554842,ELEMENTARY,6.6,6.6,6.6,6.6,7.6,69888.0,3
ST COLUMBA CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.8062020682,-79.2118305976,ELEMENTARY,3.5,4.6,4.1,4.1,4.8,59264.0,2
ST CONRAD CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.730085254,-79.493454291,ELEMENTARY,4.4,6.2,5.3,5.3,5.0,82176.0,4
AVONDALE PUBLIC SCHOOL,EP,North York,43.7602194442,-79.4001593315,ELEMENTARY,5.8,7.7,6.2,5.2,4.7,121344.0,6
LAKESHORE COLLEGIATE INSTITUTE,EP,Etobicoke,43.6015719891,-79.5191639127,SECONDARY,3.5,3.7,3.2,3.9,4.5,74496.0,3
LAMBTON KINGSWAY JUNIOR MIDDLE SCHOOL,EP,Etobicoke,43.6586658017,-79.5093180864,ELEMENTARY,8.5,8.2,8.5,8.7,8.7,112896.0,5
LAMBTON PARK COMMUNITY SCHOOL,EP,York,43.6675845619,-79.4983107577,ELEMENTARY,4.7,3.9,4.2,3.9,3.3,81152.0,4
LANOR JUNIOR MIDDLE SCHOOL,EP,Etobicoke,43.609675289,-79.5447728418,ELEMENTARY,6.1,5.9,6.2,6.6,5.9,54528.0,2
LAWRENCE PARK COLLEGIATE INSTITUTE,EP,former Toronto,43.7222312985,-79.410442321,SECONDARY,8.5,8.5,8.4,8.7,8.5,128256.0,6
LEASIDE HIGH SCHOOL,EP,East York,43.7111326824,-79.3726973385,SECONDARY,7.7,7.8,7.8,8.6,8.4,147712.0,7
LEDBURY PARK ELEMENTARY & MIDDLE SCHOOL,EP,North York,43.7273990701,-79.4273258873,ELEMENTARY,6.6,7.4,7.0,7.0,6.1,165888.0,8
LESCON PUBLIC SCHOOL,EP,North York,43.780843486,-79.357494608,ELEMENTARY,7.1,8.5,7.7,7.4,6.0,110080.0,5
LESLIEVILLE JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6673293532,-79.332410943,ELEMENTARY,2.1,5.3,3.8,4.0,5.0,71552.0,3
LESTER B PEARSON COLLEGIATE INSTITUTE,EP,Scarborough,43.8033425352,-79.2254018718,SECONDARY,5.9,5.9,5.1,5.1,5.3,48128.0,2
LORD DUFFERIN JUNIOR & SENIOR PUBLIC SCHOOL,EP,former Toronto,43.660824533,-79.366955064,ELEMENTARY,4.7,5.2,4.5,3.7,5.1,67968.0,3
LORETTO ABBEY CATHOLIC SECONDARY SCHOOL,ES,North York,43.7413049191,-79.4106598058,SECONDARY,8.2,8.1,7.8,7.1,7.1,88064.0,4
LORETTO COLLEGE SCHOOL,ES,former Toronto,43.6757452961,-79.4432501998,SECONDARY,4.5,5.1,5.1,4.5,4.0,58880.0,2
LYNNGATE JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7764776237,-79.3007195383,ELEMENTARY,7.1,7.4,6.8,5.8,4.2,58240.0,2
LYNNWOOD HEIGHTS JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7965925747,-79.2905135119,ELEMENTARY,7.3,6.7,7.8,9.3,9.0,61568.0,3
MADONNA CATHOLIC SECONDARY SCHOOL,ES,North York,43.7295236798,-79.4774840752,SECONDARY,6.2,4.9,5.9,5.0,5.3,73984.0,3
MALVERN COLLEGIATE INSTITUTE,EP,former Toronto,43.6829227449,-79.292939532,SECONDARY,7.3,7.8,8.1,8.5,8.0,83968.0,4
MANHATTAN PARK JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.753354001,-79.295301123,ELEMENTARY,5.7,7.1,6.0,5.3,6.9,75648.0,3
MAPLE LEAF PUBLIC SCHOOL,EP,North York,43.7148592311,-79.4902784881,ELEMENTARY,7.4,5.0,6.7,7.6,3.4,75008.0,3
MARC GARNEAU COLLEGIATE INSTITUTE,EP,North York,43.7089842767,-79.3349711654,SECONDARY,5.2,6.1,6.8,6.9,6.5,56192.0,2
MARKET LANE JUNIOR & SENIOR PUBLIC SCHOOL,EP,former Toronto,43.6498589639,-79.3647446247,ELEMENTARY,3.3,5.0,4.2,4.4,5.3,59093.0,2
MARY SHADD PUBLIC SCHOOL,EP,Scarborough,43.8144043187,-79.218327238,ELEMENTARY,6.7,6.6,6.4,6.0,6.1,71936.0,3
BANTING AND BEST PUBLIC SCHOOL,EP,Scarborough,43.8266729024,-79.2801537374,ELEMENTARY,7.2,6.9,6.4,5.2,5.4,92032.0,4
BLESSED JOHN XXIII CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.7124625684,-79.3298511118,ELEMENTARY,4.1,6.9,5.5,5.5,7.0,66304.0,3
BLESSED MOTHER TERESA CATHOLIC SECONDARY SCHOOL,ES,Scarborough,43.8096674177,-79.2148329555,SECONDARY,3.2,4.1,5.0,5.3,5.8,73600.0,3
BLESSED PIER GIORGIO FRASSATI CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.829875203,-79.232737525,ELEMENTARY,7.1,7.1,7.1,7.1,8.0,108971.0,5
BLESSED SACRAMENT CATHOLIC ELEMENTARY SCHOOL,ES,former Toronto,43.7274902056,-79.404000764,ELEMENTARY,6.4,8.3,7.4,7.4,8.2,161280.0,8
BLESSED TRINITY CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.7869061505,-79.3918294528,ELEMENTARY,4.4,6.1,5.3,5.3,7.2,81237.0,4
BLOOR COLLEGIATE INSTITUTE,EP,former Toronto,43.6595660096,-79.4362860846,SECONDARY,7.5,8.3,8.9,9.0,8.7,47232.0,2
BOWMORE ROAD JUNIOR & SENIOR PUBLIC SCHOOL,EP,former Toronto,43.676063663,-79.314491719,ELEMENTARY,6.6,6.6,6.8,7.3,7.0,121088.0,6
IMMACULATE HEART OF MARY CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.6961533874,-79.2624612039,ELEMENTARY,5.3,5.7,5.5,5.5,6.6,96000.0,4
INDIAN ROAD CRESCENT JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.662537312,-79.4600811612,ELEMENTARY,6.6,5.9,6.5,6.9,5.8,70144.0,3
IONVIEW PUBLIC SCHOOL,EP,Scarborough,43.7376214974,-79.274701468,ELEMENTARY,6.8,5.3,5.6,4.7,6.4,60203.0,3
ISLAMIC FOUNDATION SCHOOL,PR,Scarborough,43.7979869699,-79.2417524324,ELEMENTARY,9.6,10.0,9.8,9.9,10.0,62080.0,3
ISLAMIC INSTITUTE OF TORONTO ACADEMY SCHOOL,PR,Scarborough,43.8183949155,-79.2301603053,ELEMENTARY,8.0,9.8,8.6,8.1,9.7,65792.0,3
ISLINGTON JUNIOR MIDDLE SCHOOL,EP,Etobicoke,43.6474913952,-79.5279499653,ELEMENTARY,6.2,6.5,6.5,6.8,6.2,56101.0,2
J R WILCOX COMMUNITY SCHOOL,EP,York,43.6949553843,-79.4363085191,ELEMENTARY,3.4,1.7,3.5,5.3,4.9,91904.0,4
JACKMAN AVENUE JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6806588024,-79.3539385877,ELEMENTARY,8.3,8.2,8.1,7.9,9.0,124160.0,6
JAMES CARDINAL MCGUIGAN CATHOLIC HIGH SCHOOL,ES,North York,43.7632981734,-79.4938018826,SECONDARY,4.0,4.5,5.3,5.0,5.1,62464.0,3
JAMES CULNAN CATHOLIC ELEMENTARY SCHOOL,ES,York,43.6611156979,-79.4855875199,ELEMENTARY,5.1,5.0,5.1,5.1,3.5,107264.0,5
JAMES S BELL JUNIOR MIDDLE SCHOOL,EP,Etobicoke,43.59435422,-79.5301917,ELEMENTARY,5.6,6.8,6.3,6.5,7.0,69888.0,3
JARVIS COLLEGIATE INSTITUTE,EP,former Toronto,43.6662607886,-79.3780380767,SECONDARY,5.5,4.6,5.0,4.9,4.2,21901.0,1
HIGHCASTLE PUBLIC SCHOOL,EP,Scarborough,43.7867702135,-79.2124988173,ELEMENTARY,6.0,4.5,5.4,5.6,6.2,82176.0,4
HIGHLAND CREEK PUBLIC SCHOOL,EP,Scarborough,43.7835095173,-79.1784494765,ELEMENTARY,7.3,7.3,7.3,7.3,6.5,93696.0,4
HILLCREST PROGRESSIVE,PR,North York,43.7407318198,-79.3977311107,ELEMENTARY,6.8,7.2,7.4,8.3,8.0,197120.0,9
HOLY ANGELS CATHOLIC ELEMENTARY SCHOOL,ES,Etobicoke,43.6284178277,-79.5176605304,ELEMENTARY,9.2,7.7,8.5,8.5,7.5,102656.0,5
HOLY CHILD CATHOLIC ELEMENTARY SCHOOL,ES,Etobicoke,43.728885862,-79.619181875,ELEMENTARY,6.3,5.1,5.7,5.7,5.9,87296.0,4
HOLY CROSS CATHOLIC ELEMENTARY SCHOOL,ES,East York,43.689987554,-79.340676358,ELEMENTARY,6.5,6.1,6.3,6.3,5.2,91904.0,4
JEAN VANIER CATHOLIC SECONDARY SCHOOL,ES,Scarborough,43.7379485278,-79.2584175624,SECONDARY,5.6,6.1,5.5,5.5,5.2,49536.0,2
JESSE KETCHUM JUNIOR & SENIOR PUBLIC SCHOOL,EP,former Toronto,43.6729912096,-79.3921424663,ELEMENTARY,4.9,6.8,6.3,7.3,6.2,102656.0,5
JOHN ENGLISH JUNIOR MIDDLE SCHOOL,EP,Etobicoke,43.6118643072,-79.4944212654,ELEMENTARY,7.4,7.8,7.8,8.1,7.6,82688.0,4
JOHN G DIEFENBAKER PUBLIC SCHOOL,EP,Scarborough,43.802303651,-79.1718727182,ELEMENTARY,7.6,6.3,6.7,6.1,6.5,93696.0,4
JOHN MCCRAE SENIOR PUBLIC SCHOOL,EP,Scarborough,43.744052857,-79.2398897098,ELEMENTARY,6.5,4.5,5.3,4.8,4.0,29248.0,1
JOHN POLANYI COLLEGIATE INSTITUTE,EP,North York,43.7178175419,-79.4398585695,SECONDARY,4.3,5.4,3.7,4.7,4.3,45867.0,2
JOHN ROSS ROBERTSON JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.7183345685,-79.408867546,ELEMENTARY,9.1,8.9,9.0,8.9,9.3,297984.0,10
JOYCE PUBLIC SCHOOL,EP,North York,43.709775397,-79.463757489,ELEMENTARY,8.0,7.0,7.0,6.1,7.3,83456.0,4
KEELE STREET JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6575160553,-79.4615998374,ELEMENTARY,7.5,6.8,7.0,6.6,7.7,54464.0,2
KENNEDY LINC,EP,Scarborough,43.803623017,-79.297388584,ELEMENTARY,9.8,10.0,9.6,9.0,9.2,64128.0,3
KENSINGTON COMMUNITY SCHOOL,EP,former Toronto,43.6564063998,-79.4057347675,ELEMENTARY,5.3,5.3,5.3,5.3,6.8,57216.0,2
KIMBERLEY JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6826285623,-79.2991310909,ELEMENTARY,8.4,6.6,7.4,7.2,4.7,97792.0,4
KING EDWARD JUNIOR & SENIOR PUBLIC SCHOOL,EP,former Toronto,43.6582526981,-79.4074121749,ELEMENTARY,5.3,8.2,6.5,5.9,7.0,66731.0,3
KING GEORGE INTERNATIONAL COLLEGE (ESL),PR,former Toronto,43.7079062657,-79.3940067915,ELEMENTARY,6.8,6.8,6.8,6.8,6.9,22741.0,1
KINGSLAKE PUBLIC SCHOOL,EP,North York,43.7848191091,-79.3457321589,ELEMENTARY,6.8,7.5,7.4,7.9,7.0,87808.0,4
KIPLING COLLEGIATE INSTITUTE,EP,Etobicoke,43.6852966988,-79.5623570169,SECONDARY,3.0,1.7,2.1,2.8,2.8,85760.0,4
MARY WARD CATHOLIC SECONDARY SCHOOL,ES,Scarborough,43.8157620396,-79.3039432921,SECONDARY,7.7,7.0,7.4,7.6,6.9,85760.0,4
MARYVALE PUBLIC SCHOOL,EP,Scarborough,43.7546797202,-79.3079147891,ELEMENTARY,5.4,4.0,5.2,6.1,5.6,79360.0,3
MASON ROAD JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7392633942,-79.2256861808,ELEMENTARY,4.0,4.4,4.7,5.7,4.9,88704.0,4
MAURICE CODY JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.7048282532,-79.3774514336,ELEMENTARY,8.9,8.4,8.6,8.6,8.2,149504.0,7
MCMURRICH JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6780849553,-79.4310652081,ELEMENTARY,7.6,6.6,7.0,6.7,6.8,66816.0,3
MILITARY TRAIL PUBLIC SCHOOL,EP,Scarborough,43.7891241062,-79.1971201585,ELEMENTARY,4.7,4.0,4.4,4.5,4.9,55552.0,2
MILLIKEN PUBLIC SCHOOL,EP,Scarborough,43.816595158,-79.2885001663,ELEMENTARY,7.1,8.3,7.6,7.3,7.5,73984.0,3
MONARCH PARK COLLEGIATE INSTITUTE,EP,former Toronto,43.67928073,-79.322771888,SECONDARY,6.3,6.0,6.6,6.4,6.1,27968.0,1
CEDARBRAE COLLEGIATE INSTITUTE,EP,Scarborough,43.7563495085,-79.2259280471,SECONDARY,3.6,3.8,3.1,2.9,2.8,41408.0,2
CHRIST THE KING CATHOLIC ELEMENTARY SCHOOL,ES,Etobicoke,43.5944853035,-79.5381825667,ELEMENTARY,7.5,7.1,7.3,7.3,7.3,48640.0,2
CLIFFWOOD PUBLIC SCHOOL,EP,North York,43.8063006986,-79.360071839,ELEMENTARY,9.7,8.9,9.3,9.2,9.2,98560.0,4
COURCELETTE PUBLIC SCHOOL,EP,Scarborough,43.6793274199,-79.2785691293,ELEMENTARY,8.4,9.3,8.7,8.4,7.5,146944.0,7
TIMBERBANK JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7914798695,-79.307288611,ELEMENTARY,6.6,6.8,6.6,6.5,7.4,77312.0,3
VICTORIA PARK LINC,ES,North York,43.7742487269,-79.3261053348,SECONDARY,7.2,7.3,7.4,7.4,7.1,78421.0,3
WEXFORD COLLEGIATE SCHOOL FOR THE ARTS,EP,Scarborough,43.746168173,-79.3067985983,ELEMENTARY,4.6,4.4,4.7,5.0,4.6,78592.0,3
WILLIAM LYON MACKENZIE COLLEGIATE INSTITUTE,EP,North York,43.7534795551,-79.4618974239,SECONDARY,9.0,8.8,8.8,8.5,8.6,86528.0,4
VRADENBURG JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7743508701,-79.3082895132,ELEMENTARY,6.7,7.0,6.8,6.7,7.0,62592.0,3
WALTER PERRY JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7334647266,-79.251248882,ELEMENTARY,4.5,6.0,6.0,7.4,5.4,67072.0,3
WARDEN AVENUE PUBLIC SCHOOL,EP,Scarborough,43.7000463556,-79.2772909426,ELEMENTARY,2.9,2.4,2.3,1.6,3.1,39253.0,1
WARREN PARK JUNIOR PUBLIC SCHOOL,EP,York,43.6628513418,-79.499440791,ELEMENTARY,6.2,6.5,5.6,4.1,5.6,27072.0,1
WEST HILL COLLEGIATE INSTITUTE,EP,Scarborough,43.7756770356,-79.1905907432,SECONDARY,4.5,4.5,2.8,3.8,4.1,60288.0,3
WEST HUMBER COLLEGIATE INSTITUTE,EP,Etobicoke,43.730930992,-79.5867086973,SECONDARY,4.4,5.4,5.8,6.3,5.7,64896.0,3
WEST PREPARATORY JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.7027523077,-79.4330382856,ELEMENTARY,8.4,8.1,8.3,8.5,7.6,231936.0,10
WEST ROUGE JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.795618421,-79.133715924,ELEMENTARY,8.7,7.8,8.1,7.7,7.3,117248.0,5
WESTERN TECHNICAL COMMERCIAL SCHOOL,EP,former Toronto,43.6571000676,-79.4745847779,SECONDARY,4.3,5.5,4.4,4.7,4.6,170155.0,8
WESTON MEMORIAL JUNIOR PUBLIC SCHOOL,EP,York,43.7059867365,-79.5093332103,SECONDARY,3.9,4.2,2.0,3.1,2.6,93568.0,4
WESTVIEW CENTENNIAL SECONDARY SCHOOL,EP,North York,43.75239763,-79.525090535,SECONDARY,1.4,2.8,2.5,0.2,0.9,55936.0,2
WHITE HAVEN JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.787004021,-79.2480541007,ELEMENTARY,7.2,6.4,6.6,6.3,7.3,74496.0,3
WHITNEY JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6871689272,-79.3784005035,ELEMENTARY,8.0,9.6,8.6,8.3,8.0,397312.0,10
WILKINSON JUNIOR PUBLIC SCHOOL - BLDG 1,EP,former Toronto,43.6820502181,-79.3374864603,ELEMENTARY,7.1,7.7,7.6,8.1,8.2,50816.0,2
WILLIAM G DAVIS JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7850550409,-79.1344775261,ELEMENTARY,7.9,7.6,7.4,6.6,6.9,101120.0,5
WILLIAM G MILLER JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.768513555,-79.165034007,ELEMENTARY,5.0,4.6,4.7,4.5,5.9,88704.0,4
WILLIAM TREDWAY JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7649336553,-79.2351124599,ELEMENTARY,5.6,6.3,5.7,5.1,5.4,80128.0,4
WILLIAMSON ROAD JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6745196506,-79.2974730091,ELEMENTARY,7.3,7.6,7.6,7.9,7.2,103168.0,5
WILLOW PARK JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7612067055,-79.2095817268,ELEMENTARY,5.0,4.3,5.0,5.6,5.4,83200.0,4
WITHROW AVENUE JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6704690528,-79.3521328857,ELEMENTARY,8.3,9.1,8.6,8.3,8.7,127616.0,6
WOBURN JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.77950279,-79.22700167,SECONDARY,6.7,6.8,6.2,6.5,5.6,32512.0,1
WINSTON CHURCHILL COLLEGIATE INSTITUTE,EP,Scarborough,43.7479060751,-79.2781501414,SECONDARY,5.0,3.4,3.5,4.6,4.7,49237.0,2
ST FRANCIS DE SALES CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.7541415083,-79.5191277986,ELEMENTARY,4.4,6.1,5.3,5.3,5.8,68267.0,3
ST JEAN DE BREBEUF CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.8025224533,-79.1740441564,ELEMENTARY,7.1,7.7,7.4,7.4,7.0,93696.0,4
ST MALACHY CATHOLIC ELEMENTARY SCHOOL,ES,Scarborough,43.7710290425,-79.1666375963,ELEMENTARY,6.7,6.2,6.5,6.5,6.6,98304.0,4
ST MATTHIAS CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.7848988304,-79.3594588683,ELEMENTARY,8.4,7.6,8.0,8.0,7.4,73856.0,3
ST PASCHAL BAYLON CATHOLIC ELEMENTARY SCHOOL,ES,North York,43.7922092907,-79.4313251517,ELEMENTARY,5.7,5.6,5.7,5.7,6.3,73984.0,3
DONWOOD PARK JUNIOR PUBLIC SCHOOL - HIGHBROOK SITE,EP,Scarborough,43.7576925875,-79.2624143789,ELEMENTARY,4.6,4.8,4.9,5.3,5.5,76800.0,3
DORSET PARK PUBLIC SCHOOL,EP,Scarborough,43.7502235534,-79.2798651782,ELEMENTARY,4.8,4.1,4.6,5.0,4.6,50432.0,2
DOVERCOURT JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6667441922,-79.4357822098,ELEMENTARY,5.6,4.6,5.2,5.4,4.1,78848.0,3
DOWNSVIEW PUBLIC SCHOOL,EP,North York,43.7311224379,-79.4824390645,SECONDARY,1.4,2.2,1.4,2.3,2.6,47872.0,2
DR NORMAN BETHUNE COLLEGIATE INSTITUTE,EP,Scarborough,43.8121707571,-79.3194316359,SECONDARY,8.1,7.8,7.8,7.7,7.7,82176.0,4
DUBLIN HEIGHTS ELEMENTARY & MIDDLE SCHOOL,EP,North York,43.749105286,-79.4477281725,ELEMENTARY,6.1,6.2,6.4,6.9,6.4,88832.0,4
DUKE OF CONNAUGHT JUNIOR & SENIOR PUBLIC SCHOOL,EP,former Toronto,43.6664031378,-79.3220462223,ELEMENTARY,2.7,3.6,4.2,6.3,5.8,94720.0,4
EARL BEATTY JUNIOR & SENIOR PUBLIC SCHOOL,EP,former Toronto,43.6860266146,-79.3215688477,ELEMENTARY,6.0,3.3,5.4,7.0,6.9,107008.0,5
EARL HAIG PUBLIC SCHOOL,EP,former Toronto,43.6813400397,-79.3212536875,SECONDARY,8.6,8.5,8.6,8.7,8.2,61312.0,3
TAM O'SHANTER JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7850802489,-79.2976649055,ELEMENTARY,6.4,6.6,6.7,7.2,6.7,45328.0,2
TERRY FOX PUBLIC SCHOOL,EP,Scarborough,43.8159079663,-79.3186895279,ELEMENTARY,9.3,7.5,8.0,7.3,8.0,76416.0,3
THE ELMS JUNIOR MIDDLE SCHOOL,EP,Etobicoke,43.722227299,-79.552113787,ELEMENTARY,3.6,5.8,4.6,4.3,2.1,73472.0,3
THE WATERFRONT SCHOOL,EP,former Toronto,43.6357573919,-79.3971908313,ELEMENTARY,7.2,8.0,7.7,7.8,6.2,76672.0,3
THISTLETOWN COLLEGIATE INSTITUTE,EP,Etobicoke,43.7277351459,-79.5624559414,SECONDARY,5.2,5.8,5.6,3.1,5.0,84992.0,4
THOMAS L WELLS PUBLIC SCHOOL,EP,Scarborough,43.8243793218,-79.2259821944,ELEMENTARY,7.9,8.6,8.3,8.3,8.3,99584.0,4
TOM LONGBOAT JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.8104547841,-79.2316301617,ELEMENTARY,7.6,7.3,7.0,6.1,6.7,73600.0,3
TRANSFIGURATION OF OUR LORD CATHOLIC ELEMENTARY SCHOOL,ES,Etobicoke,43.6915298432,-79.5628740281,ELEMENTARY,8.1,8.4,8.3,8.3,7.0,84992.0,4
